Report Target;Ticket Date Create Day Label;Ticket Date Create Month Id;IWM Incident Count;IWM Request Count;IWM Change Count;IWM Problem Count
BARCHART;2017-10-13;2017M10;2;2;0;0
BARCHART;2017-10-12;2017M10;0;2;2;1
BARCHART;2017-10-11;2017M10;4;2;0;0
BARCHART;2017-10-10;2017M10;5;2;0;0
BARCHART;2017-10-09;2017M10;4;3;1;0
BARCHART;2017-10-06;2017M10;4;1;0;2
BARCHART;2017-10-05;2017M10;3;1;0;1
BARCHART;2017-10-04;2017M10;0;0;0;1
BARCHART;2017-10-03;2017M10;2;0;0;0
BARCHART;2017-10-02;2017M10;1;0;0;0
BARCHART;2017-09-29;2017M09;0;5;0;0
BARCHART;2017-09-28;2017M09;7;0;0;0
BARCHART;2017-09-27;2017M09;3;0;0;0
BARCHART;2017-09-26;2017M09;1;2;0;0
BARCHART;2017-09-25;2017M09;1;2;0;0
BARCHART;2017-09-22;2017M09;0;1;0;0
BARCHART;2017-09-21;2017M09;2;1;0;1
BARCHART;2017-09-20;2017M09;1;3;0;0
BARCHART;2017-09-19;2017M09;5;1;0;0
BARCHART;2017-09-18;2017M09;3;0;0;0
BARCHART;2017-09-14;2017M09;2;0;0;0
BARCHART;2017-09-13;2017M09;2;0;0;0
BARCHART;2017-09-11;2017M09;0;1;0;1
BARCHART;2017-09-08;2017M09;3;6;0;0
BARCHART;2017-09-07;2017M09;4;1;0;1
BARCHART;2017-09-06;2017M09;0;1;0;0
BARCHART;2017-09-05;2017M09;2;1;0;0
BARCHART;2017-09-04;2017M09;1;1;0;0
BARCHART;2017-09-01;2017M09;1;0;0;0
BARCHART;2017-08-31;2017M08;2;0;0;0
BARCHART;2017-08-30;2017M08;2;0;0;0
BARCHART;2017-08-26;2017M08;1;0;0;0
BARCHART;2017-08-25;2017M08;0;1;0;1
BARCHART;2017-08-24;2017M08;2;0;0;0
BARCHART;2017-08-23;2017M08;0;1;0;1
BARCHART;2017-08-22;2017M08;1;0;0;0
BARCHART;2017-08-21;2017M08;2;1;0;0
BARCHART;2017-08-18;2017M08;2;0;0;0
BARCHART;2017-08-16;2017M08;0;1;0;1
BARCHART;2017-08-15;2017M08;1;0;0;0
BARCHART;2017-08-14;2017M08;1;0;0;0
BARCHART;2017-08-12;2017M08;1;0;0;0
BARCHART;2017-08-11;2017M08;2;0;0;0
BARCHART;2017-08-10;2017M08;1;0;0;0
BARCHART;2017-08-09;2017M08;3;0;0;1
BARCHART;2017-08-08;2017M08;1;0;1;0
BARCHART;2017-08-07;2017M08;1;0;0;0
BARCHART;2017-08-06;2017M08;0;1;0;0
BARCHART;2017-08-05;2017M08;0;1;0;0
BARCHART;2017-08-04;2017M08;2;1;0;0
BARCHART;2017-08-03;2017M08;2;0;0;0
BARCHART;2017-08-02;2017M08;3;0;0;0
BARCHART;2017-07-28;2017M07;0;2;0;0
BARCHART;2017-07-27;2017M07;1;1;0;0
BARCHART;2017-07-26;2017M07;1;0;0;0
BARCHART;2017-07-25;2017M07;1;2;0;0
BARCHART;2017-07-21;2017M07;2;0;0;0
BARCHART;2017-07-20;2017M07;2;2;0;0
BARCHART;2017-07-19;2017M07;3;1;0;0
BARCHART;2017-07-17;2017M07;1;0;0;1
BARCHART;2017-07-13;2017M07;0;1;0;0
BARCHART;2017-07-11;2017M07;2;2;0;1
BARCHART;2017-07-10;2017M07;2;0;0;0
BARCHART;2017-07-08;2017M07;1;0;0;0
BARCHART;2017-07-05;2017M07;1;0;0;0
BARCHART;2017-07-04;2017M07;1;0;1;1
BARCHART;2017-07-03;2017M07;0;1;0;0
BARCHART;2017-06-30;2017M06;3;1;0;0
BARCHART;2017-06-28;2017M06;0;2;0;0
BARCHART;2017-06-27;2017M06;0;3;0;0
BARCHART;2017-06-26;2017M06;1;1;0;1
BARCHART;2017-06-23;2017M06;2;0;0;0
BARCHART;2017-06-22;2017M06;1;1;0;0
BARCHART;2017-06-21;2017M06;1;1;0;0
BARCHART;2017-06-20;2017M06;1;0;0;0
BARCHART;2017-06-16;2017M06;2;2;0;0
BARCHART;2017-06-15;2017M06;1;1;0;0
BARCHART;2017-06-14;2017M06;1;3;0;0
BARCHART;2017-06-13;2017M06;0;1;0;0
BARCHART;2017-06-08;2017M06;1;0;0;0
BARCHART;2017-06-07;2017M06;0;0;1;0
BARCHART;2017-06-06;2017M06;1;0;0;0
BARCHART;2017-06-01;2017M06;3;0;0;0
BARCHART;2017-05-29;2017M05;1;0;0;0
BARCHART;2017-05-24;2017M05;0;1;0;0
BARCHART;2017-05-19;2017M05;1;0;0;0
BARCHART;2017-05-17;2017M05;1;0;0;0
BARCHART;2017-05-16;2017M05;1;0;0;0
BARCHART;2017-05-04;2017M05;0;1;0;0
BARCHART;2017-05-02;2017M05;2;0;0;0
BARCHART;2017-04-27;2017M04;1;0;0;0
BARCHART;2017-04-26;2017M04;0;1;0;0
BARCHART;2017-04-25;2017M04;0;1;0;0
BARCHART;2017-04-21;2017M04;1;0;0;0
BARCHART;2017-04-19;2017M04;1;0;0;0
BARCHART;2017-04-18;2017M04;4;1;0;0
